Županije,Površina,Gradovi,Općine,Naselja
Zagrebačka,3060,8,26,697
Krapinsko-zagorska,1229,7,25,423
Sisačko-moslavačka,4468,6,13,456
Karlovačka,3626,5,16,649
Varaždinska,1262,6,22,301
Koprivničko-križevačka,1748,3,22,264
Bjelovarsko-bilogorska,2640,5,18,323
Primorsko-goranska,3588,14,21,536
Ličko-senjska,5353,4,8,252
Virovitičko-podravska,2024,3,13,190
Požeško-slavonska,1823,4,6,277
Brodsko-posavska,2030,2,26,185
Zadarska,3646,6,26,221
Osječko-baranjska,4155,7,35,264
Šibensko-kninska,2984,5,13,196
Vukovarsko-srijemska,2454,4,26,85
Splitsko-dalmatinska,4540,16,39,367
Istarska,2813,9,30,648
Dubrovačko-neretvanska,1781,5,17,227
Međimurska,729,3,21,128
Grad Zagreb,641,1,0,70
